dt,wk,typ,player,r1,r2,r3
2020-05-17,2,cap,buy_bitcoin,3,2,5
2020-05-17,2,cap,birdie,1,1,1
2020-05-17,2,cap,avi_b,2,4,3
2020-05-17,2,cap,baby_luigi,4,6,4
2020-05-17,2,cap,shambles,5,5,2
2020-05-17,2,cap,yogi,6,3,6
2020-05-18,2,cap,buy_bitcoin,2,5,3
2020-05-18,2,cap,birdie,3,1,5
2020-05-18,2,cap,avi_b,1,2,4
2020-05-18,2,cap,baby_luigi,5,4,1
2020-05-18,2,cap,shambles,6,3,6
2020-05-18,2,cap,yogi,4,6,2
2020-05-19,2,cap,buy_bitcoin,1,1,1
2020-05-19,2,cap,birdie,2,3,3
2020-05-19,2,cap,avi_b,5,6,
2020-05-19,2,cap,baby_luigi,6,2,4
2020-05-19,2,cap,shambles,3,4,2
2020-05-19,2,cap,yogi,4,5,5
2020-05-20,2,cap,buy_bitcoin,1,2,1
2020-05-20,2,cap,birdie,3,1,2
2020-05-20,2,cap,avi_b,5,3,5
2020-05-20,2,cap,baby_luigi,4,5,3
2020-05-20,2,cap,yogi,2,4,4
2020-05-21,2,cap,buy_bitcoin,5,,
2020-05-21,2,cap,birdie,4,5,
2020-05-21,2,cap,avi_b,6,2,2
2020-05-21,2,cap,baby_luigi,2,3,4
2020-05-21,2,cap,shambles,3,4,3
2020-05-21,2,cap,yogi,1,1,1
2020-05-22,2,cap,buy_bitcoin,2,3,3
2020-05-22,2,cap,birdie,1,1,5
2020-05-22,2,cap,avi_b,3,2,4
2020-05-22,2,cap,baby_luigi,5,5,2
2020-05-22,2,cap,shambles,4,4,1
2020-05-23,2,cap,buy_bitcoin,1,1,4
2020-05-23,2,cap,birdie,2,6,2
2020-05-23,2,cap,avi_b,4,3,3
2020-05-23,2,cap,baby_luigi,6,5,5
2020-05-23,2,cap,shambles,5,4,6
2020-05-23,2,cap,yogi,3,2,1
2020-05-24,3,com,buy_bitcoin,2,2,5
2020-05-24,3,com,birdie,4,1,1
2020-05-24,3,com,avi_b,3,3,3
2020-05-24,3,com,baby_luigi,1,4,2
2020-05-24,3,com,shambles,7,7,6
2020-05-24,3,com,yogi,6,5,7
2020-05-24,3,com,dave,5,6,4
2020-05-25,3,com,buy_bitcoin,2,3,4
2020-05-25,3,com,birdie,1,2,1
2020-05-25,3,com,avi_b,5,6,5
2020-05-25,3,com,baby_luigi,7,7,3
2020-05-25,3,com,shambles,6,4,7
2020-05-25,3,com,yogi,4,1,2
2020-05-25,3,com,shiv,3,5,6
2020-05-26,3,com,buy_bitcoin,5,1,1
2020-05-26,3,com,birdie,3,2,3
2020-05-26,3,com,avi_b,6,6,4
2020-05-26,3,com,baby_luigi,7,7,2
2020-05-26,3,com,shambles,2,4,7
2020-05-26,3,com,yogi,1,3,5
2020-05-26,3,com,shiv,4,5,6
2020-05-27,3,com,buy_bitcoin,4,1,1
2020-05-27,3,com,birdie,6,6,3
2020-05-27,3,com,avi_b,2,2,5
2020-05-27,3,com,baby_luigi,3,5,6
2020-05-27,3,com,shambles,5,7,7
2020-05-27,3,com,yogi,1,3,2
2020-05-27,3,com,shiv,7,4,4
2020-05-28,3,com,buy_bitcoin,1,1,1
2020-05-28,3,com,birdie,3,2,2
2020-05-28,3,com,avi_b,5,4,3
2020-05-28,3,com,baby_luigi,6,6,4
2020-05-28,3,com,yogi,2,3,6
2020-05-28,3,com,shiv,4,5,5
2020-05-29,3,com,buy_bitcoin,1,1,1
2020-05-29,3,com,birdie,5,5,2
2020-05-29,3,com,avi_b,6,2,4
2020-05-29,3,com,shambles,7,3,6
2020-05-29,3,com,yogi,2,7,5
2020-05-29,3,com,shiv,4,6,7
2020-05-29,3,com,naf,3,4,3
2020-05-30,3,com,buy_bitcoin,1,1,5
2020-05-30,3,com,birdie,3,5,1
2020-05-30,3,com,avi_b,4,3,2
2020-05-30,3,com,baby_luigi,5,4,4
2020-05-30,3,com,yogi,2,2,3
2020-05-30,3,com,shiv,6,6,6
2020-05-31,4,cap,buy_bitcoin,1,2,1
2020-05-31,4,cap,birdie,3,1,5
2020-05-31,4,cap,avi_b,4,3,2
2020-05-31,4,cap,baby_luigi,2,4,4
2020-05-31,4,cap,yogi,5,6,6
2020-05-31,4,cap,naf,6,5,3
2020-06-01,4,cap,buy_bitcoin,1,6,1
2020-06-01,4,cap,birdie,4,1,3
2020-06-01,4,cap,avi_b,6,4,2
2020-06-01,4,cap,baby_luigi,3,3,5
2020-06-01,4,cap,yogi,5,2,4
2020-06-01,4,cap,naf,2,5,6
2020-06-02,4,cap,buy_bitcoin,6,4,4
2020-06-02,4,cap,birdie,3,3,3
2020-06-02,4,cap,avi_b,5,2,6
2020-06-02,4,cap,shambles,4,5,5
2020-06-02,4,cap,yogi,1,1,1
2020-06-02,4,cap,naf,2,6,2
2020-06-03,4,cap,buy_bitcoin,2,1,2
2020-06-03,4,cap,birdie,3,2,1
2020-06-03,4,cap,avi_b,5,5,5
2020-06-03,4,cap,baby_luigi,4,4,3
2020-06-03,4,cap,yogi,1,3,4
